新しいファイル,推測される元のファイル,元のファイル存在
"2020/12/iOS-の画像-4.jpg","2020/12/iOS-の画像.jpg","Yes"
"2020/12/iOS-の画像-3.jpg","2020/12/iOS-の画像.jpg","Yes"
"2020/12/iOS-の画像-2.jpg","2020/12/iOS-の画像.jpg","Yes"
"2020/12/iOS-の画像-1.jpg","2020/12/iOS-の画像.jpg","Yes"
"2020/07/P7180286-2.jpeg","2020/07/P7180286.jpeg","No"
"2020/07/IMG_9762-2.jpeg","2020/07/IMG_9762.jpeg","No"
"2020/07/IMG_9623-2.jpeg","2020/07/IMG_9623.jpeg","No"
"2020/07/IMG_9761-2.jpeg","2020/07/IMG_9761.jpeg","No"
"2019/03/Picture1-3.png","2019/03/Picture1.png","Yes"
"2019/03/2講演-3.jpg","2019/03/2講演.jpg","No"
"2019/03/IMG_8348-1.jpg","2019/03/IMG_8348.jpg","Yes"
"2019/03/Picture1-4.png","2019/03/Picture1.png","Yes"
"2019/03/IMG_8463-1.jpg","2019/03/IMG_8463.jpg","Yes"
"2019/03/Picture1-2.png","2019/03/Picture1.png","Yes"
"2019/03/ESMA-1.png","2019/03/ESMA.png","Yes"
"2019/03/Picture1-1.png","2019/03/Picture1.png","Yes"
"2019/02/Picture1-1.png","2019/02/Picture1.png","Yes"
"2019/01/Picture1-3.png","2019/01/Picture1.png","Yes"
"2019/01/Picture1-4.png","2019/01/Picture1.png","Yes"
"2019/01/IMG_5464-2.jpg","2019/01/IMG_5464.jpg","No"
"2019/01/Picture1-5.png","2019/01/Picture1.png","Yes"
"2019/01/Picture1-2.png","2019/01/Picture1.png","Yes"
"2019/01/Picture2-1.png","2019/01/Picture2.png","Yes"
"2019/01/Picture1-6.png","2019/01/Picture1.png","Yes"
"2019/01/Picture1-1.png","2019/01/Picture1.png","Yes"
"2019/11/PA300181-1.jpeg","2019/11/PA300181.jpeg","Yes"
"2019/11/PA300117-1.jpeg","2019/11/PA300117.jpeg","Yes"
"2019/11/PA300115-1.jpeg","2019/11/PA300115.jpeg","Yes"
"2019/11/PA300119-1.jpeg","2019/11/PA300119.jpeg","Yes"
"2019/11/PA300145-1.jpeg","2019/11/PA300145.jpeg","Yes"
"2019/06/IMG_0816-2.jpeg","2019/06/IMG_0816.jpeg","No"
"2019/06/IMG_1317-1.jpeg","2019/06/IMG_1317.jpeg","Yes"
"2019/06/IMG_1317-2.jpeg","2019/06/IMG_1317.jpeg","Yes"
"2021/12/名称未設定-1-のコピー-1.jpg","2021/12/名称未設定-1-のコピー.jpg","Yes"
"2021/12/IMG_5282-1.jpeg","2021/12/IMG_5282.jpeg","No"
"2021/12/R0000900-1.jpeg","2021/12/R0000900.jpeg","Yes"
"2021/08/Insert-1.png","2021/08/Insert.png","No"
"2022/12/DSC01617-960x638-1.jpg","2022/12/DSC01617-960x638.jpg","Yes"
"2022/02/0EF6E775-8AD4-48B8-9FE6-36CBAB4DD1D9_1_105_c-1.jpeg","2022/02/0EF6E775-8AD4-48B8-9FE6-36CBAB4DD1D9_1_105_c.jpeg","Yes"
"2018/12/PB240022-2.jpg","2018/12/PB240022.jpg","No"
"2018/12/IMG_6538-2.jpg","2018/12/IMG_6538.jpg","No"
"2018/12/IMG_6153-2.jpg","2018/12/IMG_6153.jpg","No"
"2018/08/P8010171-1.jpg","2018/08/P8010171.jpg","No"
"2018/04/Synecoculture_blog-02.png","2018/04/Synecoculture_blog.png","No"
"2018/04/Synecoculture_blog-03.png","2018/04/Synecoculture_blog.png","No"
"2018/04/cropped-Synecoculture_blog-01-2.png","2018/04/cropped-Synecoculture_blog-01.png","Yes"
"2018/04/Synecoculture_blog-01.png","2018/04/Synecoculture_blog.png","No"
"2018/04/cropped-Synecoculture_blog-01-3.png","2018/04/cropped-Synecoculture_blog-01.png","Yes"
"2018/04/cropped-Synecoculture_blog-02-1.png","2018/04/cropped-Synecoculture_blog-02.png","Yes"
"2018/04/cropped-SynecoLogo-1.png","2018/04/cropped-SynecoLogo.png","Yes"
"2018/04/cropped-Synecoculture_blog-02.png","2018/04/cropped-Synecoculture_blog.png","No"
"2018/04/cropped-Synecoculture_blog-01-1.png","2018/04/cropped-Synecoculture_blog-01.png","Yes"
"2018/04/cropped-Synecoculture_blog-02-2.png","2018/04/cropped-Synecoculture_blog-02.png","Yes"
"2018/07/P7250002-1.jpg","2018/07/P7250002.jpg","No"
"2018/07/台風１２号-1.png","2018/07/台風１２号.png","Yes"
"2018/07/クジャク-1.png","2018/07/クジャク.png","Yes"
"2018/07/P7270095-1.jpg","2018/07/P7270095.jpg","No"
"2018/07/IMG_2587-1.jpg","2018/07/IMG_2587.jpg","No"
"2018/05/info-02.png","2018/05/info.png","No"
"2018/05/radio-02.png","2018/05/radio.png","No"
"2018/05/book-02.png","2018/05/book.png","No"
