post_slug,lang_slug,title,parent_slug,post_excerpt
home,ja,ホーム,,
home,en,Home,,
home,fr,Accueil,,
home,zh,首页,,
news,ja,ニュース,,
news,en,News,,
news,fr,Actualités,,
news,zh,关于,,
blog,ja,ブログ,,
blog,en,Blog,,
blog,fr,Blog,,
blog,zh,博客,,
about,ja,私たちについて,,
about,en,About us,,
about,fr,À propos de nous,,
about,zh,关于我们,,
message,ja,ご挨拶,about,
message,en,Message,about,
message,fr,Message,about,
message,zh,致辞,about,
company-profile,ja,組織概要,about,
company-profile,en,Company Profile,about,
company-profile,fr,Profil de l'entreprise,about,
company-profile,zh,组织概况,about,
history,ja,沿革,about,
history,en,History,about,
history,fr,Historique,about,
history,zh,历史,about,
members,ja,メンバー,,
members,en,Members,,
members,fr,Membres,,
members,zh,成员,,
learn,ja,学ぶ,,
learn,en,Learn,,
learn,fr,Apprendre,,
learn,zh,学习,,
about-synecoculture,ja,シネコカルチャーとは,learn,
about-synecoculture,en,About Synecoculture,learn,
about-synecoculture,fr,À propos de la Synécoculture,learn,
about-synecoculture,zh,关于 Synecoculture,learn,
manual,ja,Synecocultureマニュアル,,
manual,en,Synecoculture Manual,,
manual,fr,Manuel de Synécoculture,,
manual,zh,协生农法手册,,
projects,ja,研究・活動,,
projects,en,Research & Projects,,
projects,fr,Recherche et Projets,,
projects,zh,研究与项目,,
case-studies,ja,実践事例,,
case-studies,en,Case Studies,,
case-studies,fr,Études de cas,,
case-studies,zh,实践案例,,
join,ja,支援・参加,,
join,en,Get Involved & Support,,
join,fr,Soutenir et Participer,,
join,zh,支持与参与,,
resources,ja,資料・FAQ,,
resources,en,Resources,,
resources,fr,Ressources,,
resources,zh,资料中心,,
faq,ja,よくある質問,resources,
faq,en,FAQ,resources,
faq,fr,FAQ,resources,
faq,zh,常见问题,resources,
documents,ja,ダウンロード資料,resources,
documents,en,Documents,resources,
documents,fr,Documents,resources,
documents,zh,资料下载,resources,
related-links,ja,関連リンク,resources,
related-links,en,Related Links,resources,
related-links,fr,Liens utiles,resources,
related-links,zh,相关链接,resources,
glossary,ja,用語集,,
glossary,en,Glossary,,
glossary,fr,Glossaire,,
glossary,zh,术语表,,
careers,ja,採用情報,,
careers,en,Careers,,
careers,fr,Carrières,,
careers,zh,招聘信息,,
privacy-policy,ja,個人情報保護方針,,
privacy-policy,en,Privacy Policy,,
privacy-policy,fr,Politique de confidentialité,,
privacy-policy,zh,隐私政策,,
